uid,speed,timestamp,minutesHour,minutesDay,distortedMinutes,morningrush,morningfall,morningrise,remainingday,weekday,holidayfr,holidaych,schoolfr,schoolch,humidity,pressure,rain3h,snow3h,temperature,weather
20-1-2017+215952,44,1487604515000,28,988,23.194827009486403,false,NA,NA,418,monday,false,false,false,true,77.0,950.72,,,7.11,clearorclouds
20-1-2017+216084,42,1487605308000,41,1001,23.473389188611005,false,NA,NA,431,monday,false,false,false,true,77.0,950.72,,,7.11,clearorclouds
20-1-2017+216348,46,1487606215000,56,1016,23.790754506740637,false,NA,NA,446,monday,false,false,false,true,77.0,950.72,,,7.11,clearorclouds
20-1-2017+216612,42,1487607321000,15,1035,24.186773244895647,false,NA,NA,465,monday,false,false,false,true,77.0,950.72,,,7.11,clearorclouds
20-1-2017+215558,32,1487608129000,28,1048,24.454038521274967,false,NA,NA,478,monday,false,false,false,true,77.0,950.72,,,7.11,clearorclouds
20-1-2017+216790,34,1487608998000,43,1063,24.758836806279895,false,NA,NA,493,monday,false,false,false,true,77.0,950.72,,,7.11,clearorclouds
20-1-2017+216964,36,1487609945000,59,1079,25.079872407968907,false,NA,NA,509,monday,false,false,false,true,77.0,950.72,,,7.11,clearorclouds
20-1-2017+216260,30,1487610829000,13,1093,25.357444666211933,false,NA,NA,523,monday,false,false,false,true,77.0,950.72,,,7.11,clearorclouds
20-1-2017+216524,39,1487611827000,30,1110,25.69046515733026,false,NA,NA,540,monday,false,false,false,true,77.0,950.72,,,7.11,clearorclouds
20-1-2017+216744,34,1487612574000,42,1122,25.92296279363144,false,NA,NA,552,monday,false,false,false,true,77.0,950.72,,,7.11,clearorclouds
20-1-2017+216038,29,1487613554000,59,1139,26.248809496813376,false,NA,NA,569,monday,false,false,false,true,77.0,950.72,,,7.11,clearorclouds
20-1-2017+216170,32,1487614450000,14,1154,26.5329983228432,false,NA,NA,584,monday,false,false,false,true,77.0,950.72,,,7.11,clearorclouds
20-1-2017+216434,52,1487615214000,26,1166,26.758176320519304,false,NA,NA,596,monday,false,false,false,true,77.0,950.72,,,7.11,clearorclouds
20-1-2017+217140,40,1487616859000,54,1194,27.27636339397171,false,NA,NA,624,monday,false,false,false,true,77.0,950.72,,,7.11,clearorclouds
20-1-2017+216876,40,1487620557000,55,1255,28.372521918222215,false,NA,NA,685,monday,false,false,false,true,93.0,951.56,,,2.26,clearorclouds
20-1-2017+217228,40,1487624368000,59,1319,29.478805945967352,false,NA,NA,749,monday,false,false,false,true,93.0,951.56,,,2.26,clearorclouds
20-1-2017+217402,49,1487627968000,59,1379,30.479501308256342,false,NA,NA,809,monday,false,false,false,true,93.0,951.56,,,2.26,clearorclouds
20-1-2017+217314,41,1487631728000,2,1442,21.166010488516726,false,NA,NA,872,monday,false,false,false,true,91.0,952.16,,,-1.76,clearorclouds
21-1-2017+214284,40,1487652432000,47,347,10.14889156509222,false,103,NA,NA,tuesday,false,false,false,true,89.0,951.29,,,-1.58,clearorclouds
21-1-2017+217052,40,1487654314000,18,378,8.48528137423857,false,72,NA,NA,tuesday,false,false,false,true,89.0,951.29,,,-1.58,clearorclouds
21-1-2017+217666,27,1487656335000,52,412,6.164414002968976,true,38,NA,NA,tuesday,false,false,false,true,89.0,951.29,,,-1.58,clearorclouds
21-1-2017+215690,21,1487658043000,20,440,3.1622776601683795,true,10,NA,NA,tuesday,false,false,false,true,89.0,951.29,,,-1.58,clearorclouds
21-1-2017+217578,19,1487659267000,41,461,3.3166247903554,true,NA,11,NA,tuesday,false,false,false,true,89.0,951.29,,,-1.58,clearorclouds
21-1-2017+217888,26,1487659906000,51,471,4.58257569495584,true,NA,21,NA,tuesday,false,false,false,true,89.0,951.29,,,-1.58,clearorclouds
21-1-2017+214370,24,1487660872000,7,487,6.082762530298219,true,NA,37,NA,tuesday,false,false,false,true,93.0,951.06,,,-1.26,clearorclouds
21-1-2017+218108,23,1487661884000,24,504,7.3484692283495345,true,NA,54,NA,tuesday,false,false,false,true,93.0,951.06,,,-1.26,clearorclouds
21-1-2017+214592,26,1487662694000,38,518,8.246211251235321,true,NA,68,NA,tuesday,false,false,false,true,93.0,951.06,,,-1.26,clearorclouds
21-1-2017+217842,18,1487663926000,58,538,9.38083151964686,true,NA,88,NA,tuesday,false,false,false,true,93.0,951.06,,,-1.26,clearorclouds
21-1-2017+217752,10,1487665563000,26,566,10.770329614269007,false,NA,116,NA,tuesday,false,false,false,true,93.0,951.06,,,-1.26,clearorclouds
21-1-2017+218020,9,1487666431000,40,580,11.40175425099138,false,NA,NA,10,tuesday,false,false,false,true,93.0,951.06,,,-1.26,clearorclouds
21-1-2017+214546,15,1487666839000,47,587,11.704699910719626,false,NA,NA,17,tuesday,false,false,false,true,93.0,951.06,,,-1.26,clearorclouds
21-1-2017+214680,36,1487667736000,2,602,12.328828005937952,false,NA,NA,32,tuesday,false,false,false,true,93.0,951.06,,,-1.26,clearorclouds
21-1-2017+215776,40,1487669413000,30,630,13.416407864998739,false,NA,NA,60,tuesday,false,false,false,true,93.0,951.06,,,-1.26,clearorclouds
21-1-2017+214812,39,1487671224000,0,660,14.491376746189438,false,NA,NA,90,tuesday,false,false,false,true,93.0,951.06,,,-1.26,clearorclouds
21-1-2017+214456,48,1487672818000,26,686,15.362291495737216,false,NA,NA,116,tuesday,false,false,false,true,76.0,1024.0,,,10.63,clearorclouds
21-1-2017+214900,42,1487675055000,4,724,16.55294535724685,false,NA,NA,154,tuesday,false,false,false,true,76.0,1024.0,,,10.63,clearorclouds
21-1-2017+214766,42,1487676676000,31,751,17.349351572897472,false,NA,NA,181,tuesday,false,false,false,true,76.0,1024.0,,,10.63,clearorclouds
21-1-2017+215120,31,1487678419000,0,780,18.16590212458495,false,NA,NA,210,tuesday,false,false,false,true,76.0,1024.0,,,10.63,clearorclouds
21-1-2017+215208,40,1487680174000,29,809,18.947295321496416,false,NA,NA,239,tuesday,false,false,false,true,76.0,1024.0,,,10.63,clearorclouds
21-1-2017+215032,36,1487682073000,1,841,19.77371993328519,false,NA,NA,271,tuesday,false,false,false,true,76.0,1024.0,,,10.63,clearorclouds
21-1-2017+215472,38,1487683950000,32,872,20.54263858417414,false,NA,NA,302,tuesday,false,false,false,true,76.0,1024.0,,,10.63,clearorclouds
21-1-2017+215384,40,1487685540000,59,899,21.18962010041709,false,NA,NA,329,tuesday,false,false,false,true,76.0,1024.0,,,10.63,clearorclouds
21-1-2017+215864,34,1487687343000,29,929,21.88606862823929,false,NA,NA,359,tuesday,false,false,false,true,76.0,1024.0,,,10.63,clearorclouds
21-1-2017+215294,43,1487689192000,59,959,22.561028345356956,false,NA,NA,389,tuesday,false,false,false,true,66.0,1022.0,,,12.78,rain
21-1-2017+215952,42,1487690866000,27,987,23.173260452512935,false,NA,NA,417,tuesday,false,false,false,true,66.0,1022.0,,,12.78,rain
21-1-2017+216084,32,1487691799000,43,1003,23.515952032609693,false,NA,NA,433,tuesday,false,false,false,true,66.0,1022.0,,,12.78,rain
21-1-2017+216348,32,1487692697000,58,1018,23.83275057562597,false,NA,NA,448,tuesday,false,false,false,true,66.0,1022.0,,,12.78,rain
21-1-2017+216612,41,1487693630000,13,1033,24.145392935299274,false,NA,NA,463,tuesday,false,false,false,true,66.0,1022.0,,,12.78,rain
21-1-2017+215558,37,1487694495000,28,1048,24.454038521274967,false,NA,NA,478,tuesday,false,false,false,true,66.0,1022.0,,,12.78,rain
21-1-2017+216790,38,1487695376000,42,1062,24.73863375370596,false,NA,NA,492,tuesday,false,false,false,true,66.0,1022.0,,,12.78,rain
21-1-2017+216964,37,1487696273000,57,1077,25.03996805109783,false,NA,NA,507,tuesday,false,false,false,true,66.0,1022.0,,,12.78,rain
21-1-2017+216260,35,1487697167000,12,1092,25.337718918639855,false,NA,NA,522,tuesday,false,false,false,true,66.0,1022.0,,,12.78,rain
21-1-2017+216524,40,1487698210000,30,1110,25.69046515733026,false,NA,NA,540,tuesday,false,false,false,true,66.0,1022.0,,,12.78,rain
21-1-2017+216744,41,1487698970000,42,1122,25.92296279363144,false,NA,NA,552,tuesday,false,false,false,true,66.0,1022.0,,,12.78,rain
21-1-2017+216038,33,1487699950000,59,1139,26.248809496813376,false,NA,NA,569,tuesday,false,false,false,true,66.0,1022.0,,,12.78,rain
21-1-2017+216170,35,1487700882000,14,1154,26.5329983228432,false,NA,NA,584,tuesday,false,false,false,true,66.0,1022.0,,,12.78,rain
21-1-2017+216434,34,1487701796000,29,1169,26.814175355583846,false,NA,NA,599,tuesday,false,false,false,true,66.0,1022.0,,,12.78,rain
21-1-2017+217140,41,1487703007000,50,1190,27.202941017470888,false,NA,NA,620,tuesday,false,false,false,true,81.0,1022.0,,,10.55,clearorclouds
21-1-2017+216876,36,1487707096000,58,1258,28.42534080710379,false,NA,NA,688,tuesday,false,false,false,true,81.0,1022.0,,,10.55,clearorclouds
21-1-2017+217228,37,1487710771000,59,1319,29.478805945967352,false,NA,NA,749,tuesday,false,false,false,true,81.0,1022.0,,,10.55,clearorclouds
21-1-2017+217402,48,1487714330000,58,1378,30.463092423455635,false,NA,NA,808,tuesday,false,false,false,true,81.0,1022.0,,,10.55,clearorclouds
